id,time,x1,y1,z1,,,,,,,x2,y2,z2,,,,,,,x3,y3,z3,,,,,,,x4,y4,z4,,,,,,
0,0,-0.830011,1.599125,-2.305333,-0.750665,1.548801,-2.361558,1.484658,1.785574,-1.818917,-1.2641,1.666043,-1.027164,-1.340965,1.605803,-1.028982,1.62377,1.439176,-0.246928,1.545282,1.459707,-0.229375,1.615537,1.333411,-0.267332,1.499316,1.707349,-1.831339,1.426475,1.779414,-1.690847,-0.920579,1.522951,-2.41155,-1.291945,1.531628,-0.933891
1,0.008333,-0.831392,1.600311,-2.305444,-0.752548,1.550104,-2.362614,1.486753,1.784588,-1.821114,-1.265,1.665237,-1.028614,-1.341771,1.604748,-1.030075,1.621198,1.438362,-0.250179,1.542705,1.458731,-0.232492,1.613622,1.332252,-0.26899,1.501846,1.706366,-1.833174,1.42843,1.778418,-1.692983,-0.92278,1.524232,-2.411861,-1.292518,1.530968,-0.93478
2,0.016667,-0.833096,1.601172,-2.305808,-0.754432,1.551502,-2.363596,1.488858,1.783431,-1.823424,-1.265838,1.664451,-1.030225,-1.342407,1.603651,-1.031168,1.618124,1.436636,-0.253601,1.539561,1.456714,-0.235901,1.611191,1.330279,-0.270974,1.504391,1.705291,-1.835073,1.430905,1.777734,-1.695093,-0.924786,1.525908,-2.41252,-1.293004,1.530229,-0.935743
3,0.025,-0.834848,1.602204,-2.306268,-0.756232,1.552997,-2.3644,1.490976,1.782263,-1.825812,-1.266519,1.663409,-1.031643,-1.343,1.602385,-1.032373,1.614468,1.434162,-0.257323,1.535848,1.453808,-0.239619,1.608397,1.327438,-0.273091,1.506922,1.70415,-1.836893,1.433865,1.777439,-1.697279,-0.926736,1.527405,-2.413047,-1.29338,1.529359,-0.936823
4,0.033333,-0.83664,1.603752,-2.306899,-0.75809,1.554524,-2.365153,1.493177,1.781111,-1.828131,-1.267159,1.662291,-1.033082,-1.343479,1.601048,-1.033596,1.610217,1.430823,-0.261273,1.531304,1.449811,-0.243566,1.605224,1.32388,-0.27532,1.509336,1.702957,-1.838825,1.436182,1.776727,-1.69935,-0.928197,1.528937,-2.414032,-1.293626,1.528425,-0.937866
5,0.041667,-0.838678,1.605345,-2.307917,-0.759983,1.556186,-2.365933,1.495435,1.780116,-1.830339,-1.267721,1.661184,-1.034491,-1.343809,1.599707,-1.034834,1.605104,1.426709,-0.265437,1.52606,1.44485,-0.247823,1.601528,1.319478,-0.277731,1.511682,1.70188,-1.840698,1.438985,1.776294,-1.701247,-0.930245,1.530657,-2.414829,-1.293713,1.527489,-0.938906
6,0.05,-0.840635,1.607226,-2.308772,-0.761801,1.557952,-2.3666,1.497581,1.779113,-1.832446,-1.268186,1.660045,-1.035978,-1.344042,1.598228,-1.036052,1.599164,1.421594,-0.270038,1.519928,1.438897,-0.252464,1.597255,1.313982,-0.280258,1.513975,1.700885,-1.842461,1.441766,1.775675,-1.703039,-0.932041,1.531822,-2.415987,-1.293414,1.526472,-0.939903
7,0.058333,-0.842864,1.608915,-2.309828,-0.763709,1.559699,-2.36726,1.49977,1.778191,-1.834441,-1.268547,1.658766,-1.037549,-1.344126,1.596663,-1.037371,1.592579,1.415348,-0.275169,1.513164,1.431788,-0.257664,1.592415,1.307664,-0.283016,1.516255,1.70005,-1.844326,1.444508,1.77515,-1.704831,-0.933657,1.533845,-2.417153,-1.293307,1.525408,-0.94107
8,0.066667,-0.844906,1.610608,-2.310745,-0.765422,1.561239,-2.367725,1.50181,1.777421,-1.836397,-1.268754,1.657525,-1.039143,-1.344107,1.595114,-1.038651,1.585482,1.407792,-0.28093,1.505926,1.423419,-0.263251,1.586898,1.29985,-0.28602,1.518563,1.699317,-1.846056,1.447178,1.774602,-1.706539,-0.935224,1.535372,-2.418535,-1.29279,1.524281,-0.94213
9,0.075,-0.84682,1.612192,-2.311613,-0.767018,1.562858,-2.368196,1.503981,1.776718,-1.838275,-1.268735,1.656219,-1.040762,-1.343962,1.593503,-1.04004,1.578115,1.398736,-0.286958,1.498334,1.413896,-0.26936,1.580603,1.290618,-0.289187,1.520884,1.698572,-1.847862,1.449709,1.774005,-1.708223,-0.936537,1.536927,-2.419909,-1.292357,1.523284,-0.943293
10,0.083333,-0.848604,1.613499,-2.312533,-0.768555,1.564273,-2.36869,1.506061,1.776143,-1.840158,-1.268557,1.654876,-1.04249,-1.343658,1.591848,-1.041472,1.570115,1.387764,-0.29397,1.490546,1.403011,-0.275736,1.573387,1.279767,-0.29262,1.523212,1.697968,-1.849567,1.452211,1.773616,-1.709998,-0.937501,1.538824,-2.421488,-1.291826,1.522402,-0.944282
